cd .transaction_id,customer_id,agent_id,branch,amount,channel,source_account,declared_account,bureau_inquiries_7d,gps_mismatch_km,repeated_source_count,employee_override_count
TX000033,CUST00256,AG0093,Nagpur,27704.36,NEFT,ACC1169,ACC1169,1,0.01,0,0
TX000034,CUST00777,AG0087,Bengaluru,113302.58,NEFT,ACC1215,ACC1215,1,1.97,0,1
TX000035,CUST00906,AG0087,Mumbai,28979.63,Wallet,ACC1164,ACC1164,2,0.0,2,0
TX000036,CUST00482,AG0087,Nagpur,16783.08,UPI,ACC9048,ACC1171,0,3.66,3,0
TX000037,CUST00787,AG0064,Nashik,9685.92,UPI,ACC9044,ACC1294,3,0.95,4,2
TX000038,CUST01061,AG0060,Pune,69886.14,UPI,ACC9044,ACC1217,1,2.05,10,0
TX000039,CUST01034,AG0055,Delhi,24629.99,Wallet,ACC1226,ACC1226,1,0.0,0,0
TX000040,CUST01068,AG0063,Bengaluru,14201.48,Payment Gateway,ACC1141,ACC1141,0,0.99,1,0
TX000041,CUST00313,AG0091,Mumbai,9803.0,ATM,ACC1118,ACC1118,1,2.77,0,1
TX000042,CUST01197,AG0090,Pune,11786.74,Wallet,ACC1199,ACC1199,3,2.35,2,1
TX000043,CUST00559,AG0056,Nashik,10161.39,Payment Gateway,ACC1112,ACC1112,2,0.0,2,1
TX000044,CUST01094,AG0004,Nashik,39113.79,UPI,ACC1065,ACC1065,1,2.52,0,0
TX000045,CUST00692,AG0098,Nashik,14015.95,Cards,ACC1108,ACC1108,0,2.71,1,5
TX000046,CUST00141,AG0100,Bengaluru,3110.96,ATM,ACC1179,ACC1179,0,3.08,1,0
TX000047,CUST00344,AG0078,Delhi,42442.7,NEFT,ACC1131,ACC1131,0,3.11,0,0
TX000048,CUST00407,AG0010,Delhi,54274.29,UPI,ACC1192,ACC1192,2,0.33,3,1
TX000049,CUST00712,AG0069,Nashik,34135.52,Payment Gateway,ACC1289,ACC1289,0,3.79,4,1
TX000050,CUST00742,AG0082,Nashik,44533.67,Payment Gateway,ACC1054,ACC1054,1,0.0,5,1
TX000051,CUST00550,AG0042,Mumbai,53781.13,Cards,ACC1238,ACC1238,1,0.0,2,0
TX000052,CUST00373,AG0063,Mumbai,20565.15,NEFT,ACC1253,ACC1253,3,0.76,0,3
TX000053,CUST00833,AG0063,Delhi,84557.7,Payment Gateway,ACC1043,ACC1043,2,0.0,1,0
TX000054,CUST00499,AG0040,Bengaluru,33272.73,ATM,ACC1150,ACC1150,0,3.48,1,0
TX000055,CUST00248,AG0093,Mumbai,10051.24,Wallet,ACC1156,ACC1156,2,1.15,0,1
TX000056,CUST01075,AG0077,Nagpur,17369.42,NEFT,ACC1141,ACC1141,0,0.0,8,0
TX000057,CUST01006,AG0014,Pune,32583.77,Cards,ACC1064,ACC1064,0,0.89,8,0
TX000058,CUST00821,AG0063,Pune,37689.1,IMPS,ACC9004,ACC1244,0,0.0,10,0
TX000059,CUST00463,AG0100,Delhi,4472.43,NEFT,ACC1213,ACC1213,3,0.61,10,0
TX000060,CUST00204,AG0098,Mumbai,34004.7,UPI,ACC1030,ACC1030,0,1.53,0,0
TX000061,CUST00475,AG0037,Bengaluru,3216.19,UPI,ACC1240,ACC1240,2,1.83,5,1
TX000062,CUST01116,AG0029,Bengaluru,13960.88,IMPS,ACC1101,ACC1101,0,1.98,2,0
TX000063,CUST00960,AG0089,Nagpur,26937.65,UPI,ACC1147,ACC1147,1,2.53,4,1
TX000064,CUST01179,AG0076,Pune,52272.7,Payment Gateway,ACC9014,ACC1128,1,0.12,1,1
TX000065,CUST00837,AG0043,Nagpur,138863.42,NEFT,ACC1046,ACC1046,1,7.23,1,0
TX000066,CUST01127,AG0005,Nashik,12629.28,UPI,ACC1205,ACC1205,5,0.0,10,0
TX000067,CUST00112,AG0025,Delhi,12346.63,Payment Gateway,ACC1277,ACC1277,1,2.43,0,0
TX000068,CUST00898,AG0090,Nashik,32742.23,IMPS,ACC1067,ACC1067,0,3.04,0,1
TX000069,CUST00241,AG0083,Mumbai,26692.37,ATM,ACC1058,ACC1058,2,1.36,1,0
TX000070,CUST01129,AG0019,Nashik,9321.85,Payment Gateway,ACC1241,ACC1241,3,2.15,3,0
TX000071,CUST00006,AG0037,Bengaluru,13776.1,Payment Gateway,ACC1259,ACC1259,1,0.11,0,0
TX000072,CUST01113,AG0049,Nashik,8817.81,Cards,ACC1176,ACC1176,0,1.11,3,0
TX000073,CUST00076,AG0017,Delhi,69987.55,UPI,ACC1077,ACC1077,3,0.0,1,0
TX000074,CUST00840,AG0084,Mumbai,11430.1,Cards,ACC9009,ACC1233,1,3.3,4,0
TX000075,CUST01000,AG0070,Pune,33211.81,Payment Gateway,ACC1162,ACC1162,4,0.0,10,1
TX000076,CUST00206,AG0057,Mumbai,17092.19,IMPS,ACC1222,ACC1222,0,0.0,0,0
TX000077,CUST00494,AG0064,Delhi,10840.45,NEFT,ACC1195,ACC1195,1,2.63,2,2
TX000078,CUST01120,AG0021,Pune,23808.57,ATM,ACC1238,ACC1238,0,3.88,1,0
TX000079,CUST00219,AG0031,Nashik,33933.3,Payment Gateway,ACC1196,ACC1196,0,0.55,8,0
TX000080,CUST00101,AG0078,Bengaluru,25671.51,NEFT,ACC9043,ACC1140,2,1.6,0,0
TX000081,CUST00281,AG0081,Pune,128728.6,NEFT,ACC1128,ACC1128,2,4.41,0,0
TX000082,CUST00670,AG0096,Nashik,16107.65,ATM,ACC9018,ACC1067,3,0.0,0,0
TX000083,CUST00605,AG0096,Nagpur,59002.22,UPI,ACC1246,ACC1246,0,2.79,8,2
TX000084,CUST01142,AG0047,Pune,29497.49,Payment Gateway,ACC1203,ACC1203,2,1.07,2,0
TX000085,CUST01150,AG0042,Delhi,17886.34,Wallet,ACC1119,ACC1119,1,2.96,2,0
TX000086,CUST00624,AG0064,Pune,10773.07,Payment Gateway,ACC9002,ACC1059,4,0.46,1,1
TX000087,CUST01003,AG0079,Nashik,62105.85,Payment Gateway,ACC1212,ACC1212,0,0.0,1,3
TX000088,CUST00753,AG0070,Bengaluru,19491.5,IMPS,ACC9043,ACC1185,5,4.39,0,0
TX000089,CUST00499,AG0017,Delhi,32204.67,Wallet,ACC9021,ACC1010,3,0.14,0,0
TX000090,CUST00297,AG0017,Delhi,17773.35,Payment Gateway,ACC1001,ACC1001,3,2.35,3,0
TX000091,CUST00260,AG0095,Nashik,30969.58,Cards,ACC9003,ACC1008,1,2.45,1,0
TX000092,CUST00089,AG0094,Bengaluru,28405.04,UPI,ACC1231,ACC1231,0,0.0,2,0
TX000093,CUST00660,AG0078,Mumbai,11823.21,Payment Gateway,ACC9005,ACC1227,1,1.44,2,0
TX000094,CUST01036,AG0078,Nashik,107689.33,Wallet,ACC1271,ACC1271,1,2.47,4,0
TX000095,CUST00195,AG0041,Nashik,19047.41,IMPS,ACC1232,ACC1232,2,0.0,1,0
TX000096,CUST00764,AG0017,Delhi,34771.12,Cards,ACC9006,ACC1043,0,0.0,4,1
TX000097,CUST00721,AG0014,Delhi,27228.93,Cards,ACC1147,ACC1147,0,0.0,0,1
TX000098,CUST01176,AG0029,Nashik,83359.33,Payment Gateway,ACC9017,ACC1188,1,0.0,2,0
TX000099,CUST00633,AG0044,Nagpur,31316.47,IMPS,ACC1139,ACC1139,2,0.0,8,0
TX000100,CUST00930,AG0044,Mumbai,14177.52,Wallet,ACC9026,ACC1271,4,0.0,0,1
TX000101,CUST00558,AG0057,Bengaluru,20631.94,Cards,ACC1025,ACC1025,0,0.0,3,0
TX000102,CUST00997,AG0068,Bengaluru,19200.41,ATM,ACC9043,ACC1220,0,2.43,3,1
TX000103,CUST00016,AG0064,Bengaluru,24117.93,ATM,ACC1148,ACC1148,2,5.36,1,1
TX000104,CUST00087,AG0056,Pune,25339.05,NEFT,ACC9047,ACC1181,1,0.0,1,0
TX000105,CUST00352,AG0080,Nashik,11420.26,ATM,ACC1010,ACC1010,0,0.0,4,1
TX000106,CUST00345,AG0010,Delhi,39716.56,IMPS,ACC1113,ACC1113,4,0.0,3,1
TX000107,CUST00405,AG0023,Delhi,37331.13,ATM,ACC9016,ACC1120,2,3.55,1,2
TX000108,CUST00662,AG0081,Nagpur,24010.21,NEFT,ACC1289,ACC1289,1,0.78,1,0
TX000109,CUST00158,AG0083,Pune,37056.77,Cards,ACC1188,ACC1188,1,1.77,8,1
TX000110,CUST01171,AG0084,Mumbai,16863.16,IMPS,ACC1021,ACC1021,4,0.0,4,5
TX000111,CUST00354,AG0006,Mumbai,29279.88,NEFT,ACC1043,ACC1043,0,2.21,0,0
TX000112,CUST00108,AG0081,Bengaluru,19176.74,ATM,ACC1173,ACC1173,2,0.59,2,2
TX000113,CUST01194,AG0085,Mumbai,61647.91,Payment Gateway,ACC1076,ACC1076,2,4.02,1,0
TX000114,CUST00772,AG0083,Nagpur,99007.39,Wallet,ACC1043,ACC1043,4,5.17,0,0
TX000115,CUST00743,AG0040,Mumbai,68915.95,Wallet,ACC1260,ACC1260,1,1.13,0,0
TX000116,CUST00208,AG0065,Delhi,10336.83,Wallet,ACC1039,ACC1039,1,0.35,0,0
TX000117,CUST00090,AG0053,Nagpur,36954.69,Cards,ACC1084,ACC1084,1,0.6,3,1
TX000118,CUST00634,AG0061,Mumbai,92508.61,NEFT,ACC1119,ACC1119,2,0.0,0,0
TX000119,CUST00107,AG0083,Nashik,85188.57,UPI,ACC1070,ACC1070,2,1.17,1,0
TX000120,CUST00559,AG0058,Delhi,11380.1,IMPS,ACC1042,ACC1042,3,4.31,1,0
TX000121,CUST00168,AG0048,Mumbai,101704.91,Wallet,ACC1191,ACC1191,0,0.0,0,2
TX000122,CUST00285,AG0098,Bengaluru,24095.64,UPI,ACC1241,ACC1241,0,1.42,5,0
TX000123,CUST00487,AG0039,Pune,9229.74,Wallet,ACC9018,ACC1216,1,2.2,0,1
TX000124,CUST00034,AG0081,Delhi,38790.99,NEFT,ACC1255,ACC1255,1,0.2,1,0
TX000125,CUST00739,AG0009,Delhi,35712.34,ATM,ACC1043,ACC1043,1,0.32,1,0
TX000126,CUST00520,AG0096,Pune,21799.93,IMPS,ACC1198,ACC1198,2,0.0,2,0
TX000127,CUST00694,AG0083,Mumbai,113323.08,Payment Gateway,ACC1022,ACC1022,1,0.0,0,0
TX000128,CUST00090,AG0026,Pune,18642.08,Cards,ACC9012,ACC1234,5,0.0,3,0
TX000129,CUST00098,AG0084,Nagpur,5703.8,Cards,ACC1182,ACC1182,3,0.83,2,2
TX000130,CUST00383,AG0064,Bengaluru,25721.78,ATM,ACC1197,ACC1197,0,2.84,1,5
TX000131,CUST00658,AG0014,Pune,19239.25,Cards,ACC1092,ACC1092,1,2.14,1,0
TX000132,CUST00723,AG0079,Nashik,36185.61,Wallet,ACC1179,ACC1179,2,1.44,4,0
TX000133,CUST00484,AG0100,Bengaluru,19985.02,ATM,ACC9004,ACC1224,0,1.58,0,0
TX000134,CUST00158,AG0074,Mumbai,28772.22,Payment Gateway,ACC1189,ACC1189,0,1.6,0,0
TX000135,CUST00534,AG0091,Nashik,9805.57,Payment Gateway,ACC9049,ACC1287,4,1.1,1,0
TX000136,CUST00912,AG0012,Bengaluru,59459.08,ATM,ACC1037,ACC1037,1,3.93,2,2
TX000137,CUST01042,AG0029,Pune,13172.93,NEFT,ACC1089,ACC1089,1,0.0,1,1
TX000138,CUST00135,AG0040,Nashik,31343.82,Wallet,ACC9005,ACC1282,1,2.31,0,0
TX000139,CUST01130,AG0082,Delhi,9549.94,UPI,ACC1264,ACC1264,3,2.31,1,0
TX000140,CUST00462,AG0045,Delhi,10531.37,ATM,ACC1082,ACC1082,0,0.0,0,0
TX000141,CUST00692,AG0073,Pune,36388.6,Wallet,ACC9042,ACC1297,1,0.0,2,0
TX000142,CUST00619,AG0062,Mumbai,101463.66,NEFT,ACC1279,ACC1279,1,0.8,1,0
TX000143,CUST00641,AG0092,Nagpur,17937.98,NEFT,ACC1174,ACC1174,0,0.22,0,0
TX000144,CUST00787,AG0079,Nashik,13434.61,ATM,ACC9018,ACC1072,2,1.59,10,0
TX000145,CUST00185,AG0051,Delhi,24901.72,ATM,ACC1157,ACC1157,0,2.19,0,0
TX000146,CUST00017,AG0014,Nashik,13588.21,NEFT,ACC1240,ACC1240,2,0.0,1,0
TX000147,CUST00792,AG0065,Nashik,44524.56,ATM,ACC1283,ACC1283,2,2.56,0,3
TX000148,CUST00695,AG0072,Nagpur,41642.87,ATM,ACC1201,ACC1201,1,1.69,2,1
TX000149,CUST01056,AG0018,Nagpur,64134.63,Cards,ACC1265,ACC1265,5,1.33,2,0
TX000150,CUST01044,AG0069,Nashik,40503.09,Wallet,ACC1172,ACC1172,0,0.78,1,0
TX000151,CUST00544,AG0084,Delhi,39436.14,ATM,ACC1013,ACC1013,1,1.96,1,1
TX000152,CUST00497,AG0005,Delhi,10280.56,IMPS,ACC9043,ACC1194,1,1.81,2,0
TX000153,CUST01063,AG0027,Delhi,13215.56,ATM,ACC1031,ACC1031,0,3.24,8,0
TX000154,CUST00726,AG0087,Bengaluru,95165.32,NEFT,ACC1272,ACC1272,1,1.68,1,0
TX000155,CUST00425,AG0089,Bengaluru,26133.86,ATM,ACC1152,ACC1152,4,2.47,3,0
TX000156,CUST01113,AG0049,Nashik,48493.97,NEFT,ACC1062,ACC1062,4,4.79,2,1
TX000157,CUST00556,AG0072,Bengaluru,18923.04,Payment Gateway,ACC9034,ACC1109,1,3.15,0,0
TX000158,CUST00477,AG0007,Pune,17659.31,UPI,ACC1271,ACC1271,2,4.22,8,0
TX000159,CUST00409,AG0097,Nagpur,13452.03,Wallet,ACC1243,ACC1243,0,4.74,1,0
TX000160,CUST00359,AG0054,Mumbai,4840.57,Wallet,ACC1019,ACC1019,4,1.38,1,0
TX000161,CUST01113,AG0068,Nashik,27117.94,Wallet,ACC1171,ACC1171,0,1.03,0,0
TX000162,CUST00029,AG0095,Nagpur,67729.23,Wallet,ACC1131,ACC1131,0,0.0,1,0
TX000163,CUST00196,AG0024,Mumbai,16611.31,UPI,ACC9042,ACC1167,0,0.0,0,1
TX000164,CUST01174,AG0002,Nagpur,53450.61,UPI,ACC1168,ACC1168,2,0.16,2,2
TX000165,CUST00605,AG0048,Delhi,25464.99,ATM,ACC1159,ACC1159,0,1.43,2,2
TX000166,CUST00448,AG0098,Mumbai,49630.24,Wallet,ACC1275,ACC1275,0,0.0,0,0
TX000167,CUST01036,AG0026,Delhi,28573.13,Wallet,ACC1031,ACC1031,1,2.12,0,0
TX000168,CUST01046,AG0058,Pune,23592.87,Cards,ACC1298,ACC1298,1,0.0,0,0
TX000169,CUST00447,AG0075,Pune,10383.05,UPI,ACC1130,ACC1130,1,0.23,0,2
TX000170,CUST00369,AG0099,Mumbai,38002.43,Cards,ACC9026,ACC1241,1,2.72,0,3
TX000171,CUST00243,AG0023,Delhi,22738.46,IMPS,ACC9022,ACC1276,3,0.33,3,3
TX000172,CUST01116,AG0055,Delhi,21696.8,Cards,ACC1237,ACC1237,0,0.52,2,0
TX000173,CUST00033,AG0031,Mumbai,6232.25,Cards,ACC1214,ACC1214,1,5.38,2,0
TX000174,CUST00480,AG0070,Mumbai,127903.94,IMPS,ACC1022,ACC1022,1,0.39,2,0
TX000175,CUST00294,AG0085,Delhi,15563.5,UPI,ACC1164,ACC1164,1,4.41,1,1
TX000176,CUST00875,AG0072,Nashik,10419.49,Payment Gateway,ACC1089,ACC1089,2,1.55,1,0
TX000177,CUST00970,AG0031,Mumbai,10559.71,Wallet,ACC9034,ACC1192,1,0.0,0,0
TX000178,CUST00275,AG0050,Mumbai,16284.0,UPI,ACC1213,ACC1213,4,1.65,2,0
TX000179,CUST00081,AG0010,Mumbai,74146.93,Payment Gateway,ACC1137,ACC1137,1,0.55,1,2
TX000180,CUST00032,AG0028,Mumbai,11014.81,IMPS,ACC1170,ACC1170,0,1.31,0,0
TX000181,CUST00737,AG0066,Nashik,21234.53,Payment Gateway,ACC1183,ACC1183,1,2.78,4,2
TX000182,CUST00094,AG0073,Mumbai,32076.96,Payment Gateway,ACC1189,ACC1189,1,2.13,1,1
TX000183,CUST00692,AG0033,Nashik,26488.94,Wallet,ACC1255,ACC1255,0,2.52,0,0
TX000184,CUST01111,AG0083,Pune,32997.85,UPI,ACC1094,ACC1094,4,0.0,1,1
TX000185,CUST00019,AG0028,Delhi,25228.82,Payment Gateway,ACC9009,ACC1118,2,0.0,2,0
TX000186,CUST01130,AG0053,Pune,28818.15,ATM,ACC9034,ACC1249,3,0.0,5,0
TX000187,CUST00494,AG0025,Delhi,32744.54,NEFT,ACC1049,ACC1049,2,0.0,0,3
TX000188,CUST00463,AG0039,Bengaluru,9129.64,Cards,ACC1235,ACC1235,1,1.43,0,0
TX000189,CUST00679,AG0073,Pune,49472.14,NEFT,ACC1222,ACC1222,0,1.29,0,2
TX000190,CUST00068,AG0023,Nagpur,14303.12,ATM,ACC1278,ACC1278,3,0.0,0,1
TX000191,CUST00161,AG0065,Bengaluru,15753.2,NEFT,ACC1071,ACC1071,1,3.66,2,0
TX000192,CUST00923,AG0063,Mumbai,20090.18,Payment Gateway,ACC9017,ACC1167,0,1.41,0,0
TX000193,CUST00316,AG0095,Nashik,20300.49,UPI,ACC9045,ACC1137,4,0.0,1,1
TX000194,CUST00883,AG0058,Delhi,30543.65,UPI,ACC9011,ACC1052,0,0.0,3,2
TX000195,CUST00795,AG0100,Pune,54207.89,IMPS,ACC1006,ACC1006,1,0.39,0,0
TX000196,CUST00550,AG0064,Mumbai,9318.48,Cards,ACC1071,ACC1071,0,1.55,5,1
TX000197,CUST00401,AG0059,Pune,10896.2,Cards,ACC1253,ACC1253,3,0.0,0,0
TX000198,CUST00412,AG0062,Nagpur,12897.57,NEFT,ACC1069,ACC1069,0,0.49,1,0
TX000199,CUST00805,AG0047,Pune,56445.9,ATM,ACC1192,ACC1192,0,0.0,3,0
TX000200,CUST00430,AG0057,Nagpur,35446.56,NEFT,ACC1236,ACC1236,0,0.0,3,0
TX000201,CUST01095,AG0065,Bengaluru,23946.91,NEFT,ACC1245,ACC1245,2,0.0,3,0
TX000202,CUST00728,AG0022,Bengaluru,38332.35,Payment Gateway,ACC9015,ACC1043,2,0.0,8,0
TX000203,CUST01046,AG0096,Delhi,34711.51,IMPS,ACC9014,ACC1005,1,2.97,1,1
TX000204,CUST00989,AG0014,Nagpur,13165.14,Cards,ACC9001,ACC1256,2,0.0,0,1
TX000205,CUST00615,AG0006,Bengaluru,50462.88,IMPS,ACC1231,ACC1231,4,0.98,2,0
TX000206,CUST00874,AG0060,Mumbai,81124.11,IMPS,ACC9035,ACC1282,1,0.8,2,0
TX000207,CUST00440,AG0027,Nagpur,164474.78,UPI,ACC1219,ACC1219,1,1.38,3,0
TX000208,CUST00938,AG0015,Nagpur,42569.67,Payment Gateway,ACC1187,ACC1187,0,0.0,0,0
TX000209,CUST00610,AG0079,Delhi,12644.47,IMPS,ACC1234,ACC1234,0,2.36,0,0
TX000210,CUST00867,AG0024,Nashik,49345.71,Payment Gateway,ACC1070,ACC1070,4,1.7,0,0
TX000211,CUST00736,AG0002,Nashik,97454.19,Cards,ACC1230,ACC1230,1,2.16,1,1
TX000212,CUST00170,AG0073,Pune,45295.4,UPI,ACC1227,ACC1227,0,0.14,1,1
TX000213,CUST00232,AG0074,Pune,13396.95,NEFT,ACC1253,ACC1253,1,0.94,3,1
TX000214,CUST00871,AG0014,Bengaluru,166340.2,NEFT,ACC1225,ACC1225,3,2.58,4,0
TX000215,CUST00486,AG0027,Bengaluru,32397.11,Payment Gateway,ACC1060,ACC1060,1,1.48,1,0
TX000216,CUST00122,AG0073,Nagpur,30028.25,IMPS,ACC1105,ACC1105,0,0.78,0,2
TX000217,CUST00843,AG0008,Nagpur,47903.93,Wallet,ACC9048,ACC1048,0,0.0,0,0
TX000218,CUST00805,AG0063,Mumbai,31110.7,Cards,ACC1126,ACC1126,0,4.05,3,0
TX000219,CUST00756,AG0059,Nashik,109934.91,Payment Gateway,ACC1142,ACC1142,5,2.66,2,0
TX000220,CUST00815,AG0028,Nashik,65012.18,NEFT,ACC1032,ACC1032,3,0.0,1,0
TX000221,CUST00100,AG0006,Pune,77688.67,UPI,ACC1175,ACC1175,0,3.21,4,0
TX000222,CUST00877,AG0026,Bengaluru,3085.89,NEFT,ACC1000,ACC1000,0,0.72,2,0
TX000223,CUST00626,AG0093,Bengaluru,49697.47,UPI,ACC1026,ACC1026,2,1.77,0,0
TX000224,CUST01064,AG0088,Nashik,23792.92,UPI,ACC1067,ACC1067,0,3.96,0,0
TX000225,CUST00273,AG0083,Bengaluru,9470.96,UPI,ACC9049,ACC1153,1,2.94,0,0
TX000226,CUST00311,AG0053,Delhi,167446.92,UPI,ACC1109,ACC1109,3,1.79,2,0
TX000227,CUST00287,AG0032,Nagpur,35031.24,ATM,ACC1219,ACC1219,1,1.91,2,1
TX000228,CUST00618,AG0027,Delhi,32236.97,Cards,ACC1013,ACC1013,0,4.82,8,0
TX000229,CUST00146,AG0068,Pune,31191.04,Payment Gateway,ACC1057,ACC1057,0,2.49,1,5
TX000230,CUST00029,AG0034,Mumbai,60155.92,Payment Gateway,ACC9004,ACC1037,2,1.4,1,0
TX000231,CUST00569,AG0011,Nagpur,15139.54,Wallet,ACC1275,ACC1275,3,0.0,2,0
TX000232,CUST00489,AG0008,Mumbai,9855.66,Cards,ACC1223,ACC1223,1,3.71,2,0
TX000233,CUST00024,AG0021,Nashik,99055.03,Wallet,ACC1006,ACC1006,3,2.1,0,0
TX000234,CUST00242,AG0099,Pune,18091.85,ATM,ACC1137,ACC1137,0,0.65,0,0
TX000235,CUST00342,AG0048,Mumbai,18497.0,ATM,ACC9036,ACC1184,2,0.0,0,1
TX000236,CUST00501,AG0006,Nashik,2591.14,IMPS,ACC9000,ACC1001,4,2.63,5,1
TX000237,CUST00509,AG0054,Bengaluru,6501.35,ATM,ACC1214,ACC1214,0,0.0,1,2
TX000238,CUST01057,AG0006,Nashik,8901.57,NEFT,ACC1091,ACC1091,2,0.92,1,0
TX000239,CUST00623,AG0095,Delhi,15379.11,Cards,ACC1149,ACC1149,5,1.91,3,1
TX000240,CUST00503,AG0020,Pune,31464.54,Payment Gateway,ACC1279,ACC1279,3,1.29,2,1
TX000241,CUST00488,AG0054,Nashik,13608.89,UPI,ACC9033,ACC1157,4,1.17,4,0
TX000242,CUST00174,AG0075,Pune,27461.31,Cards,ACC1190,ACC1190,0,0.0,8,0
TX000243,CUST00805,AG0090,Bengaluru,17400.57,IMPS,ACC1133,ACC1133,0,0.4,0,1
TX000244,CUST00337,AG0058,Nashik,20125.21,NEFT,ACC9006,ACC1299,5,1.61,0,0
TX000245,CUST00624,AG0091,Bengaluru,32228.6,Wallet,ACC1080,ACC1080,0,2.69,0,0
TX000246,CUST00101,AG0087,Nagpur,9131.65,Cards,ACC1182,ACC1182,1,0.44,0,1
TX000247,CUST00456,AG0017,Mumbai,54590.84,Payment Gateway,ACC9049,ACC1062,4,0.95,0,0
TX000248,CUST00405,AG0083,Nashik,42936.91,Wallet,ACC9004,ACC1038,3,0.94,1,0
TX000249,CUST00809,AG0064,Pune,20318.43,NEFT,ACC1293,ACC1293,0,1.66,0,0
TX000250,CUST00504,AG0083,Nagpur,26556.32,Cards,ACC9039,ACC1076,0,1.02,0,2
TX000251,CUST01114,AG0003,Nashik,49202.78,ATM,ACC1269,ACC1269,2,2.16,0,0
TX000252,CUST00369,AG0004,Nagpur,30862.84,Wallet,ACC1164,ACC1164,2,6.39,1,1
TX000253,CUST00206,AG0032,Bengaluru,12558.76,Wallet,ACC1119,ACC1119,4,3.2,0,5
TX000254,CUST00796,AG0046,Mumbai,9037.01,Wallet,ACC1112,ACC1112,2,0.0,2,0
TX000255,CUST01154,AG0025,Nashik,28857.45,UPI,ACC1290,ACC1290,0,3.07,0,0
TX000256,CUST00680,AG0079,Mumbai,50917.64,IMPS,ACC1269,ACC1269,4,2.09,0,0
TX000257,CUST01078,AG0047,Pune,22939.36,NEFT,ACC1072,ACC1072,0,0.0,8,1
